City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Ayni,TJ,2021-04-19 20:51:43,39.3941,68.5377,47.84,69,94,5.06
275,Alice Springs,AU,2021-04-19 20:47:57,-23.7,133.8833,42.8,70,1,5.75
276,Kipini,KE,2021-04-19 20:51:44,-2.5257,40.5262,79.0,80,100,14.36
277,Laurel,US,2021-04-19 20:47:25,39.0993,-76.8483,64.0,55,1,6.91
278,Yulara,AU,2021-04-19 20:51:45,-25.2406,130.9889,48.2,71,0,8.05
279,Antsohihy,MG,2021-04-19 20:51:45,-14.8796,47.9875,75.22,74,15,8.43
280,Xai-Xai,MZ,2021-04-19 20:51:46,-25.0519,33.6442,66.94,77,0,4.92
281,Bangolo,CI,2021-04-19 20:51:46,7.0069,-7.475,74.46,89,100,0.78
282,Turayf,SA,2021-04-19 20:51:47,31.6725,38.6637,78.8,24,0,9.22
283,Xining,CN,2021-04-19 20:51:48,36.6167,101.7667,37.9,76,78,1.97
284,North Bend,US,2021-04-19 20:51:48,43.4065,-124.2243,66.0,72,97,1.01
285,Pisco,PE,2021-04-19 20:51:48,-13.7,-76.2167,77.0,61,0,5.75
286,Richards Bay,ZA,2021-04-19 20:51:49,-28.783,32.0377,72.93,78,15,20.31
287,Vestmanna,FO,2021-04-19 20:51:49,62.1564,-7.1664,41.0,81,20,6.91
288,Chapais,CA,2021-04-19 20:51:49,49.7834,-74.8492,55.4,28,1,4.61
289,Mezhdurechensk,RU,2021-04-19 20:51:50,53.6942,88.0603,17.89,86,100,1.99
290,Sistranda,NO,2021-04-19 20:51:50,63.7256,8.834,48.2,66,0,9.22
291,Bay Roberts,CA,2021-04-19 20:51:51,47.5999,-53.2648,44.6,70,90,8.05
292,Jam Sahib,PK,2021-04-19 20:51:51,26.2958,68.6292,80.6,50,40,6.91
